 2007-11-11 오후 12:16:38	새 로그파일 생성>>
 2007-11-11 오후 12:16:38	프로그램 시작 >> Program Start
 2007-11-11 오후 4:24:42	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:24:42	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:26:00	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:26:00	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:26:42	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:26:42	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:27:37	물품판매 >>     판매물품(감자깡), 판매수량(10 EA), 판매금액(5000 \)
 2007-11-11 오후 4:28:25	물품판매 >>     판매물품(감자깡), 판매수량(20 EA), 판매금액(10000 \)
 2007-11-11 오후 4:28:33	프로그램 종료 >> Program End
 2007-11-11 오후 4:35:20	프로그램 시작 >> Program Start
 2007-11-11 오후 4:37:28	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:37:28	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:37:38	손실등록 >>     손실물품(감자깡), 손실수량(5 EA), 손실금액(2500 \)
 2007-11-11 오후 4:39:11	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:39:11	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:39:20	손실등록 >>     손실물품(감자깡), 손실수량(3 EA), 손실금액(1500 \)
 2007-11-11 오후 4:39:39	손실등록 >>     손실물품(선인장비누), 손실수량(1000 EA), 손실금액(1200000 \)
 2007-11-11 오후 4:40:53	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:40:53	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:41:00	손실등록 >>     손실물품(감자깡), 손실수량(1 EA), 손실금액(500 \)
 2007-11-11 오후 4:47:49	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:47:49	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:48:43	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:48:43	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:49:23	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:49:23	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:49:50	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:49:50	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:50:26	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:50:26	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:50:35	물품입고 >>     입고물품(감자깡), 입고수량(5 EA), 입고금액(2500 \)
 2007-11-11 오후 4:51:22	물품입고 >>     입고물품(감자깡), 입고수량(16 EA), 입고금액(8000 \)
 2007-11-11 오후 4:51:54	손실등록 >>     손실물품(잠자리지우개), 손실수량(5555 EA), 손실금액(1666500 \)
 2007-11-11 오후 4:52:00	프로그램 종료 >> Program End
 2007-11-11 오후 4:52:43	프로그램 시작 >> Program Start
 2007-11-11 오후 4:52:51	물품입고 >>     입고물품(감자깡), 입고수량(32 EA), 입고금액(16000 \)
 2007-11-11 오후 4:53:46	프로그램 비정상적인 종료 >>
 2007-11-11 오후 4:53:46	프로그램 재시작 >> Program Start
 2007-11-11 오후 4:53:55	손실등록 >>     손실물품(감자깡), 손실수량(1 EA), 손실금액(500 \)
 2007-11-11 오후 5:00:30	프로그램 비정상적인 종료 >>
 2007-11-11 오후 5:00:30	프로그램 재시작 >> Program Start
 2007-11-11 오후 5:01:37	물품입고 >>     입고물품(새우깡), 입고수량(30000 EA), 입고금액(18000000 \)
 2007-11-11 오후 5:04:56	프로그램 비정상적인 종료 >>
 2007-11-11 오후 5:04:56	프로그램 재시작 >> Program Start
 2007-11-11 오후 5:06:26	프로그램 비정상적인 종료 >>
 2007-11-11 오후 5:06:26	프로그램 재시작 >> Program Start
 2007-11-11 오후 5:06:37	물품입고 >>     입고물품(감자깡), 입고수량(29937 EA), 입고금액(14968500 \)
 2007-11-11 오후 5:07:23	손실등록 >>     손실물품(새우깡), 손실수량(30000 EA), 손실금액(18000000 \)
 2007-11-11 오후 5:07:23	손실등록 >>     손실물품(감자깡), 손실수량(30000 EA), 손실금액(15000000 \)
 2007-11-11 오후 5:07:45	물품입고 >>     입고물품(새우깡), 입고수량(100 EA), 입고금액(60000 \)

