 2007-11-15 오전 12:31:24	새 로그파일 생성>>
 2007-11-15 오전 12:31:24	프로그램 시작 >> Program Start
 2007-11-15 오전 12:31:27	정산 >>     수익(600 \), 정산시각(2007-11-15 오전 12:31:27)
 2007-11-15 오전 12:33:30	프로그램 비정상적인 종료 >>
 2007-11-15 오전 12:33:30	프로그램 재시작 >> Program Start
 2007-11-15 오전 12:33:45	물품입고 >>     입고물품(감자깡), 입고수량(29990 EA), 입고금액(14 \)
 2007-11-15 오전 12:37:15	프로그램 비정상적인 종료 >>
 2007-11-15 오전 12:37:15	프로그램 재시작 >> Program Start
 2007-11-15 오전 12:39:21	프로그램 비정상적인 종료 >>
 2007-11-15 오전 12:39:21	프로그램 재시작 >> Program Start
 2007-11-15 오전 12:39:25	정산 >>     수익(0 \), 정산시각(2007-11-15 오전 12:39:25)
 2007-11-15 오전 12:39:34	물품판매 >>     판매물품(감자깡), 판매수량(20000 EA), 판매금액(10 \)
 2007-11-15 오전 12:42:37	프로그램 비정상적인 종료 >>
 2007-11-15 오전 12:42:37	프로그램 재시작 >> Program Start
 2007-11-15 오전 12:46:20	프로그램 비정상적인 종료 >>
 2007-11-15 오전 12:46:20	프로그램 재시작 >> Program Start
 2007-11-15 오전 12:48:17	프로그램 비정상적인 종료 >>
 2007-11-15 오전 12:48:17	프로그램 재시작 >> Program Start
 2007-11-15 오전 12:54:18	프로그램 비정상적인 종료 >>
 2007-11-15 오전 12:54:18	프로그램 재시작 >> Program Start
 2007-11-15 오전 12:54:44	손실등록 >>     손실물품(새우깡), 손실수량(5 EA), 손실금액(3000 \)
 2007-11-15 오전 12:54:44	손실등록 >>     손실물품(감자깡), 손실수량(5000 EA), 손실금액(2500000 \)
 2007-11-15 오전 12:55:20	프로그램 비정상적인 종료 >>
 2007-11-15 오전 12:55:20	프로그램 재시작 >> Program Start
 2007-11-15 오전 12:55:50	물품입고 >>     입고물품(양파링), 입고수량(77 EA), 입고금액(38500 \)
 2007-11-15 오전 12:55:50	물품입고 >>     입고물품(양파깡), 입고수량(67 EA), 입고금액(33500 \)
 2007-11-15 오전 12:55:50	물품입고 >>     입고물품(새우깡), 입고수량(66 EA), 입고금액(39600 \)
 2007-11-15 오전 12:56:01	손실등록 >>     손실물품(감자깡), 손실수량(4000 EA), 손실금액(2000000 \)
 2007-11-15 오전 12:56:13	물품판매 >>     판매물품(감자깡), 판매수량(400 EA), 판매금액(200000 \)
 2007-11-15 오전 12:56:17	프로그램 종료 >> Program End
 2007-11-15 오전 12:57:26	프로그램 시작 >> Program Start
 2007-11-15 오전 12:57:33	프로그램 종료 >> Program End
 2007-11-15 오전 1:07:16	프로그램 시작 >> Program Start
 2007-11-15 오전 1:07:18	프로그램 종료 >> Program End

