 2007-11-13 오전 12:18:53	새 로그파일 생성>>
 2007-11-13 오전 12:18:53	프로그램 시작 >> Program Start
 2007-11-13 오전 12:19:03	프로그램 종료 >> Program End
 2007-11-13 오전 12:20:43	프로그램 시작 >> Program Start
 2007-11-13 오전 12:21:01	프로그램 종료 >> Program End
 2007-11-13 오전 12:21:26	프로그램 시작 >> Program Start
 2007-11-13 오전 12:21:42	프로그램 종료 >> Program End
 2007-11-13 오전 12:21:44	프로그램 시작 >> Program Start
 2007-11-13 오전 12:21:49	프로그램 종료 >> Program End
 2007-11-13 오전 12:36:19	프로그램 시작 >> Program Start
 2007-11-13 오전 12:36:37	프로그램 비정상적인 종료 >>
 2007-11-13 오전 12:36:37	프로그램 재시작 >> Program Start
 2007-11-13 오전 12:37:17	프로그램 비정상적인 종료 >>
 2007-11-13 오전 12:37:17	프로그램 재시작 >> Program Start
 2007-11-13 오전 12:37:28	프로그램 종료 >> Program End
 2007-11-13 오전 12:37:33	프로그램 시작 >> Program Start
 2007-11-13 오전 12:39:14	프로그램 비정상적인 종료 >>
 2007-11-13 오전 12:39:14	프로그램 재시작 >> Program Start
 2007-11-13 오전 12:39:23	프로그램 종료 >> Program End
 2007-11-13 오전 12:39:26	프로그램 시작 >> Program Start
 2007-11-13 오전 12:39:47	프로그램 종료 >> Program End
 2007-11-13 오전 12:39:50	프로그램 시작 >> Program Start
 2007-11-13 오전 12:48:56	프로그램 비정상적인 종료 >>
 2007-11-13 오전 12:48:56	프로그램 재시작 >> Program Start
 2007-11-13 오전 12:49:28	프로그램 비정상적인 종료 >>
 2007-11-13 오전 12:49:28	프로그램 재시작 >> Program Start
 2007-11-13 오전 12:50:32	프로그램 비정상적인 종료 >>
 2007-11-13 오전 12:50:32	프로그램 재시작 >> Program Start
 2007-11-13 오전 12:53:09	정산 >>     수익(0 \), 정산시각(2007-11-13 오전 12:53:09)
 2007-11-13 오전 12:54:14	프로그램 비정상적인 종료 >>
 2007-11-13 오전 12:54:14	프로그램 재시작 >> Program Start
 2007-11-13 오전 12:54:16	정산 >>     수익(0 \), 정산시각(2007-11-13 오전 12:54:16)
 2007-11-13 오전 12:54:24	정산 >>     수익(0 \), 정산시각(2007-11-13 오전 12:54:24)
 2007-11-13 오전 12:55:13	프로그램 비정상적인 종료 >>
 2007-11-13 오전 12:55:13	프로그램 재시작 >> Program Start
 2007-11-13 오전 12:57:52	프로그램 비정상적인 종료 >>
 2007-11-13 오전 12:57:52	프로그램 재시작 >> Program Start
 2007-11-13 오전 12:58:13	프로그램 비정상적인 종료 >>
 2007-11-13 오전 12:58:13	프로그램 재시작 >> Program Start
 2007-11-13 오전 12:58:44	프로그램 종료 >> Program End
 2007-11-13 오전 1:25:49	프로그램 시작 >> Program Start
 2007-11-13 오전 1:27:31	프로그램 비정상적인 종료 >>
 2007-11-13 오전 1:27:31	프로그램 재시작 >> Program Start
 2007-11-13 오전 1:33:00	프로그램 비정상적인 종료 >>
 2007-11-13 오전 1:33:00	프로그램 재시작 >> Program Start
 2007-11-13 오전 1:36:49	프로그램 비정상적인 종료 >>
 2007-11-13 오전 1:36:49	프로그램 재시작 >> Program Start
 2007-11-13 오전 1:37:40	물품판매 >>     판매물품(새우깡), 판매수량(48 EA), 판매금액(28800 \)
 2007-11-13 오전 1:37:40	물품판매 >>     판매물품(감자깡), 판매수량(2 EA), 판매금액(1000 \)
 2007-11-13 오전 1:39:06	프로그램 비정상적인 종료 >>
 2007-11-13 오전 1:39:06	프로그램 재시작 >> Program Start
 2007-11-13 오전 1:39:29	물품입고 >>     입고물품(새우깡), 입고수량(12 EA), 입고금액(7200 \)
 2007-11-13 오전 1:39:38	손실등록 >>     손실물품(새우깡), 손실수량(12 EA), 손실금액(7200 \)
 2007-11-13 오전 1:39:48	프로그램 종료 >> Program End
 2007-11-13 오전 1:40:41	프로그램 시작 >> Program Start
 2007-11-13 오전 1:40:44	프로그램 종료 >> Program End
 2007-11-13 오전 1:42:51	프로그램 시작 >> Program Start
 2007-11-13 오전 1:42:55	프로그램 종료 >> Program End
 2007-11-13 오전 1:43:02	프로그램 시작 >> Program Start
 2007-11-13 오전 1:43:26	물품입고 >>     입고물품(새우깡), 입고수량(2 EA), 입고금액(1200 \)
 2007-11-13 오전 1:43:45	손실등록 >>     손실물품(새우깡), 손실수량(1 EA), 손실금액(600 \)
 2007-11-13 오전 1:43:53	물품판매 >>     판매물품(새우깡), 판매수량(1 EA), 판매금액(600 \)
 2007-11-13 오전 1:43:58	정산 >>     수익(30400 \), 정산시각(2007-11-13 오전 1:43:58)
 2007-11-13 오전 1:44:32	프로그램 종료 >> Program End
 2007-11-13 오전 2:12:07	프로그램 시작 >> Program Start
 2007-11-13 오전 2:13:05	프로그램 종료 >> Program End
 2007-11-13 오전 2:14:13	프로그램 시작 >> Program Start
 2007-11-13 오전 2:14:17	정산 >>     수익(0 \), 정산시각(2007-11-13 오전 2:14:17)
 2007-11-13 오전 2:15:32	프로그램 종료 >> Program End
 2007-11-13 오전 2:16:10	프로그램 시작 >> Program Start
 2007-11-13 오전 2:17:29	프로그램 종료 >> Program End
 2007-11-13 오전 2:17:33	프로그램 시작 >> Program Start
 2007-11-13 오전 2:17:39	프로그램 종료 >> Program End
 2007-11-13 오전 2:17:41	프로그램 시작 >> Program Start
 2007-11-13 오전 2:18:04	프로그램 종료 >> Program End
 2007-11-13 오전 2:22:20	프로그램 시작 >> Program Start
 2007-11-13 오전 2:22:30	정산 >>     수익(0 \), 정산시각(2007-11-13 오전 2:22:30)
 2007-11-13 오전 2:23:19	프로그램 종료 >> Program End
 2007-11-13 오후 12:06:55	프로그램 시작 >> Program Start
 2007-11-13 오후 1:03:59	프로그램 종료 >> Program End
 2007-11-13 오후 1:41:23	프로그램 시작 >> Program Start
 2007-11-13 오후 1:42:17	프로그램 종료 >> Program End
 2007-11-13 오후 1:47:06	프로그램 시작 >> Program Start
 2007-11-13 오후 1:49:32	프로그램 종료 >> Program End
 2007-11-13 오후 1:49:35	프로그램 시작 >> Program Start
 2007-11-13 오후 1:49:56	물품입고 >>     입고물품(새우깡), 입고수량(1 EA), 입고금액(600 \)
 2007-11-13 오후 1:50:07	물품판매 >>     판매물품(새우깡), 판매수량(1 EA), 판매금액(600 \)
 2007-11-13 오후 2:09:31	프로그램 종료 >> Program End
 2007-11-13 오후 2:25:30	프로그램 시작 >> Program Start
 2007-11-13 오후 2:26:08	프로그램 종료 >> Program End
 2007-11-13 오후 2:26:12	프로그램 시작 >> Program Start
 2007-11-13 오후 2:26:15	프로그램 종료 >> Program End
 2007-11-13 오후 8:34:38	프로그램 시작 >> Program Start
 2007-11-13 오후 8:36:08	프로그램 종료 >> Program End
 2007-11-13 오후 8:36:25	프로그램 시작 >> Program Start
 2007-11-13 오후 8:42:47	프로그램 종료 >> Program End

