 2007-11-09 오전 10:52:51	새 로그파일 생성>>
 2007-11-09 오전 10:52:51	프로그램 시작 >> Program Start
 2007-11-09 오전 10:53:30	프로그램 비정상적인 종료 >>
 2007-11-09 오전 10:53:30	프로그램 재시작 >> Program Start
 2007-11-09 오전 10:53:50	프로그램 비정상적인 종료 >>
 2007-11-09 오전 10:53:50	프로그램 재시작 >> Program Start
 2007-11-09 오전 10:54:54	프로그램 비정상적인 종료 >>
 2007-11-09 오전 10:54:54	프로그램 재시작 >> Program Start
 2007-11-09 오후 2:16:36	프로그램 비정상적인 종료 >>
 2007-11-09 오후 2:16:36	프로그램 재시작 >> Program Start
 2007-11-09 오후 2:18:20	프로그램 비정상적인 종료 >>
 2007-11-09 오후 2:18:20	프로그램 재시작 >> Program Start
 2007-11-09 오후 2:19:54	프로그램 비정상적인 종료 >>
 2007-11-09 오후 2:19:54	프로그램 재시작 >> Program Start
 2007-11-09 오후 2:22:01	프로그램 비정상적인 종료 >>
 2007-11-09 오후 2:22:01	프로그램 재시작 >> Program Start
 2007-11-09 오후 2:22:33	물품목록 > 품목추가 >>     코드(90001), 품명(나비리본), 단가(1560000 \)
 2007-11-09 오후 2:24:50	프로그램 비정상적인 종료 >>
 2007-11-09 오후 2:24:50	프로그램 재시작 >> Program Start
 2007-11-09 오후 2:25:51	물품목록 > 품목수정 >>     코드(90001), 품명(나비리본), 단가(1560000 \)
 2007-11-09 오후 2:26:04	물품목록 > 품목수정 >>     코드(90001), 품명(나비리본), 단가(1600000 \)
 2007-11-09 오후 2:28:22	프로그램 비정상적인 종료 >>
 2007-11-09 오후 2:28:22	프로그램 재시작 >> Program Start

