 2007-10-24 오전 12:07:20	새 로그파일 생성>>
 2007-10-24 오전 12:07:20	프로그램 시작 >> Program Start
 2007-10-24 오전 12:07:21	프로그램 종료 >> Program End
 2007-10-24 오전 12:07:35	프로그램 시작 >> Program Start
 2007-10-24 오전 12:07:36	프로그램 종료 >> Program End
 2007-10-24 오전 12:07:49	프로그램 시작 >> Program Start
 2007-10-24 오전 12:07:50	프로그램 종료 >> Program End
 2007-10-24 오전 12:07:51	프로그램 종료 >> Program End
 2007-10-24 오전 12:07:51	프로그램 종료 >> Program End
 2007-10-24 오전 12:07:51	프로그램 종료 >> Program End
 2007-10-24 오전 12:08:03	프로그램 시작 >> Program Start
 2007-10-24 오전 12:08:05	프로그램 종료 >> Program End
 2007-10-24 오전 12:08:08	프로그램 시작 >> Program Start
 2007-10-24 오전 12:08:25	프로그램 종료 >> Program End

