 2007-10-21 오후 2:33:08	새 로그파일 생성>>
 2007-10-21 오후 2:33:08	프로그램 시작 >> Program Start
 2007-10-21 오후 2:33:23	로그인 >>     관리자(고수열)
 2007-10-21 오후 2:33:29	프로그램 종료 >> Program End
 2007-10-21 오후 2:33:31	프로그램 시작 >> Program Start
 2007-10-21 오후 2:33:39	로그인 >>     관리자(고수열)
 2007-10-21 오후 2:34:10	프로그램 종료 >> Program End
 2007-10-21 오후 2:34:15	프로그램 시작 >> Program Start
 2007-10-21 오후 2:34:18	프로그램 종료 >> Program End
 2007-10-21 오후 2:38:22	프로그램 시작 >> Program Start
 2007-10-21 오후 2:40:15	프로그램 비정상적인 종료 >>
 2007-10-21 오후 2:40:15	프로그램 재시작 >> Program Start
 2007-10-21 오후 2:40:20	로그인 >>     일반(테스트)
 2007-10-21 오후 2:40:23	영업 시작 >>     영업 시작시간(2007-10-21 오후 1:54:33)
 2007-10-21 오후 2:40:34	정산 >>     코드(99), 수익(0 \), 영업시작(2007-10-21 오후 2:40:23), 정산시각(2007-10-21 오후 2:40:34)
 2007-10-21 오후 2:44:19	프로그램 비정상적인 종료 >>
 2007-10-21 오후 2:44:19	프로그램 재시작 >> Program Start
 2007-10-21 오후 2:49:48	프로그램 비정상적인 종료 >>
 2007-10-21 오후 2:49:48	프로그램 재시작 >> Program Start
 2007-10-21 오후 2:52:45	프로그램 비정상적인 종료 >>
 2007-10-21 오후 2:52:45	프로그램 재시작 >> Program Start
 2007-10-21 오후 2:53:04	프로그램 비정상적인 종료 >>
 2007-10-21 오후 2:53:04	프로그램 재시작 >> Program Start
 2007-10-21 오후 2:58:18	프로그램 비정상적인 종료 >>
 2007-10-21 오후 2:58:18	프로그램 재시작 >> Program Start
 2007-10-21 오후 2:58:18	프로그램 비정상적인 종료 >>
 2007-10-21 오후 2:58:18	프로그램 재시작 >> Program Start
 2007-10-21 오후 2:59:10	프로그램 비정상적인 종료 >>
 2007-10-21 오후 2:59:10	프로그램 재시작 >> Program Start
 2007-10-21 오후 2:59:10	프로그램 비정상적인 종료 >>
 2007-10-21 오후 2:59:10	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:02:56	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:02:56	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:02:56	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:02:56	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:03:09	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:03:09	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:03:09	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:03:09	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:03:24	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:03:24	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:03:24	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:03:24	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:04:03	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:04:03	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:04:03	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:04:04	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:04:21	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:04:21	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:04:21	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:04:21	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:05:38	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:05:38	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:05:38	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:05:38	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:06:04	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:06:04	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:06:04	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:06:04	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:06:14	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:06:14	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:06:14	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:06:14	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:06:23	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:06:23	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:06:23	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:06:23	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:07:28	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:07:28	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:07:28	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:07:28	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:07:57	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:07:57	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:07:57	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:07:57	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:08:27	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:08:27	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:08:27	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:08:27	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:08:48	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:08:48	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:08:48	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:08:48	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:09:01	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:09:01	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:09:01	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:09:01	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:09:07	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:09:07	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:09:07	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:09:07	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:09:35	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:09:35	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:09:35	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:09:35	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:10:31	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:10:31	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:10:31	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:10:31	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:11:27	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:11:27	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:11:27	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:11:27	프로그램 재시작 >> Program Start
 2007-10-21 오후 3:11:42	프로그램 비정상적인 종료 >>
 2007-10-21 오후 3:11:42	프로그램 재시작 >> Program Start
