 2007-11-03 오후 4:16:49	새 로그파일 생성>>
 2007-11-03 오후 4:16:49	프로그램 시작 >> Program Start
 2007-11-03 오후 4:18:15	프로그램 비정상적인 종료 >>
 2007-11-03 오후 4:18:15	프로그램 재시작 >> Program Start
 2007-11-03 오후 4:18:28	정산 >>     코드(102), 수익(12000 \), 영업시작(2007-10-23 오후 5:09:19), 정산시각(2007-11-03 오후 4:18:28)
 2007-11-03 오후 4:18:38	프로그램 비정상적인 종료 >>
 2007-11-03 오후 4:18:38	프로그램 재시작 >> Program Start
 2007-11-03 오후 4:23:50	물품입고 >>     품명(감자깡), 수량(50 EA), 거래액(25000 \)
 2007-11-03 오후 4:23:56	물품입고 >>     품명(코코볼), 수량(50 EA), 거래액(150000 \)
 2007-11-03 오후 4:24:05	물품입고 >>     품명(잠자리지우개), 수량(5555 EA), 거래액(1666500 \)
 2007-11-03 오후 4:24:24	물품입고 >>     품명(선인장비누), 수량(1000 EA), 거래액(1200000 \)
 2007-11-03 오후 4:36:58	프로그램 종료 >> Program End
 2007-11-03 오후 4:42:27	프로그램 시작 >> Program Start
 2007-11-03 오후 4:46:22	물품목록 > 품목삭제 >>     코드(00003), 품명(고구마깡), 품종(제과류), 단가(500 \)
 2007-11-03 오후 4:54:35	프로그램 종료 >> Program End
 2007-11-03 오후 6:35:56	프로그램 시작 >> Program Start
 2007-11-03 오후 6:36:36	프로그램 종료 >> Program End
 2007-11-03 오후 7:11:50	프로그램 시작 >> Program Start
 2007-11-03 오후 7:11:52	프로그램 종료 >> Program End
 2007-11-03 오후 7:12:05	프로그램 시작 >> Program Start
 2007-11-03 오후 7:12:08	프로그램 종료 >> Program End
 2007-11-03 오후 7:12:12	프로그램 시작 >> Program Start
 2007-11-03 오후 7:12:15	프로그램 종료 >> Program End
 2007-11-03 오후 7:12:39	프로그램 시작 >> Program Start
 2007-11-03 오후 7:12:52	프로그램 종료 >> Program End
 2007-11-03 오후 7:12:55	프로그램 시작 >> Program Start
 2007-11-03 오후 7:13:04	프로그램 종료 >> Program End

