 2007-11-14 오전 12:05:43	새 로그파일 생성>>
 2007-11-14 오전 12:05:43	프로그램 시작 >> Program Start
 2007-11-14 오전 12:05:46	정산 >>     수익(600 \), 정산시각(2007-11-14 오전 12:05:46)
 2007-11-14 오전 12:06:44	물품입고 >>     입고물품(새우깡), 입고수량(11 EA), 입고금액(6600 \)
 2007-11-14 오전 12:07:43	프로그램 종료 >> Program End
 2007-11-14 오전 12:09:12	프로그램 시작 >> Program Start
 2007-11-14 오전 12:09:21	프로그램 종료 >> Program End
 2007-11-14 오전 12:10:26	프로그램 시작 >> Program Start
 2007-11-14 오전 12:11:17	프로그램 종료 >> Program End
 2007-11-14 오전 12:11:29	프로그램 시작 >> Program Start
 2007-11-14 오전 12:11:34	프로그램 종료 >> Program End
 2007-11-14 오전 12:11:46	프로그램 시작 >> Program Start
 2007-11-14 오전 12:11:56	프로그램 종료 >> Program End
 2007-11-14 오전 12:12:00	프로그램 시작 >> Program Start
 2007-11-14 오전 12:12:03	프로그램 종료 >> Program End
 2007-11-14 오전 12:45:45	프로그램 시작 >> Program Start
 2007-11-14 오전 12:46:01	프로그램 종료 >> Program End
 2007-11-14 오전 12:46:42	프로그램 시작 >> Program Start
 2007-11-14 오전 12:46:59	프로그램 종료 >> Program End
 2007-11-14 오전 12:47:40	프로그램 시작 >> Program Start
 2007-11-14 오전 12:47:45	프로그램 종료 >> Program End
 2007-11-14 오전 1:40:04	프로그램 시작 >> Program Start
 2007-11-14 오전 1:40:51	프로그램 종료 >> Program End
 2007-11-14 오전 1:43:32	프로그램 시작 >> Program Start
 2007-11-14 오전 1:45:11	프로그램 종료 >> Program End
 2007-11-14 오전 1:45:57	프로그램 시작 >> Program Start
 2007-11-14 오전 1:46:19	프로그램 종료 >> Program End
 2007-11-14 오전 2:11:40	프로그램 시작 >> Program Start
 2007-11-14 오전 2:15:40	프로그램 종료 >> Program End
 2007-11-14 오전 2:17:00	프로그램 시작 >> Program Start
 2007-11-14 오전 2:17:34	손실등록 >>     손실물품(새우깡), 손실수량(1 EA), 손실금액(600 \)
 2007-11-14 오전 2:23:45	프로그램 종료 >> Program End
 2007-11-14 오전 9:33:22	프로그램 시작 >> Program Start
 2007-11-14 오전 9:34:36	프로그램 종료 >> Program End
 2007-11-14 오후 2:20:37	프로그램 시작 >> Program Start
 2007-11-14 오후 2:20:38	프로그램 종료 >> Program End
 2007-11-14 오후 2:21:59	프로그램 시작 >> Program Start
 2007-11-14 오후 2:22:07	물품입고 >>     입고물품(새우깡), 입고수량(3 EA), 입고금액(1800 \)
 2007-11-14 오후 2:22:17	프로그램 종료 >> Program End
 2007-11-14 오후 2:33:53	프로그램 시작 >> Program Start
 2007-11-14 오후 2:34:20	물품판매 >>     판매물품(새우깡), 판매수량(1 EA), 판매금액(600 \)
 2007-11-14 오후 2:34:44	물품입고 >>     입고물품(감자깡), 입고수량(12 EA), 입고금액(6000 \)
 2007-11-14 오후 2:34:55	손실등록 >>     손실물품(새우깡), 손실수량(1 EA), 손실금액(600 \)
 2007-11-14 오후 2:34:55	손실등록 >>     손실물품(감자깡), 손실수량(2 EA), 손실금액(1000 \)
 2007-11-14 오후 2:37:16	프로그램 종료 >> Program End
 2007-11-14 오후 2:43:39	프로그램 시작 >> Program Start
 2007-11-14 오후 2:44:22	프로그램 종료 >> Program End
 2007-11-14 오후 2:44:33	프로그램 시작 >> Program Start
 2007-11-14 오후 2:45:58	프로그램 종료 >> Program End
 2007-11-14 오후 2:51:49	프로그램 시작 >> Program Start
 2007-11-14 오후 2:54:08	프로그램 비정상적인 종료 >>
 2007-11-14 오후 2:54:08	프로그램 재시작 >> Program Start
 2007-11-14 오후 2:54:10	프로그램 종료 >> Program End
 2007-11-14 오후 2:54:33	프로그램 시작 >> Program Start
 2007-11-14 오후 2:54:35	프로그램 종료 >> Program End
 2007-11-14 오후 8:00:50	프로그램 시작 >> Program Start
 2007-11-14 오후 8:01:45	프로그램 비정상적인 종료 >>
 2007-11-14 오후 8:01:45	프로그램 재시작 >> Program Start
 2007-11-14 오후 8:04:45	프로그램 비정상적인 종료 >>
 2007-11-14 오후 8:04:45	프로그램 재시작 >> Program Start
 2007-11-14 오후 8:04:48	프로그램 종료 >> Program End
 2007-11-14 오후 8:06:28	프로그램 시작 >> Program Start
 2007-11-14 오후 8:36:41	프로그램 비정상적인 종료 >>
 2007-11-14 오후 8:36:41	프로그램 재시작 >> Program Start
 2007-11-14 오후 8:44:57	프로그램 비정상적인 종료 >>
 2007-11-14 오후 8:44:57	프로그램 재시작 >> Program Start
 2007-11-14 오후 8:44:58	프로그램 종료 >> Program End

