 2007-11-10 오전 1:05:05	새 로그파일 생성>>
 2007-11-10 오전 1:05:05	프로그램 시작 >> Program Start
 2007-11-10 오전 1:06:00	물품목록 > 품목수정 >>     코드(00000), 품명(새우깡), 단가(600 \)
 2007-11-10 오전 1:06:04	물품목록 > 품목수정 >>     코드(00000), 품명(새우깡), 단가(7600 \)
 2007-11-10 오전 1:06:09	물품목록 > 품목수정 >>     코드(00000), 품명(새우깡), 단가(600 \)
 2007-11-10 오전 1:06:18	물품목록 > 품목추가 >>     코드(70000), 품명(567567), 단가(567567 \)
 2007-11-10 오전 1:09:59	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:09:59	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:11:10	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:11:10	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:12:08	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:12:08	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:12:28	물품목록 > 품목추가 >>     코드(99000), 품명(sdkasldkaslk), 단가(31230 \)
 2007-11-10 오전 1:12:35	물품목록 > 품목수정 >>     코드(99000), 품명(sdkasldkaslk), 단가(3412312312 \)
 2007-11-10 오전 1:13:02	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:13:02	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:14:46	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:14:46	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:17:11	물품목록 > 품목삭제 >>     코드(99000), 품명(sdkasldkaslk), 단가(600 \)
 2007-11-10 오전 1:17:27	물품목록 > 품목삭제 >>     코드(70000), 품명(567567), 단가(567567 \)
 2007-11-10 오전 1:17:57	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:17:57	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:20:05	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:20:05	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:24:47	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:24:47	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:25:20	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:25:20	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:35:05	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:35:05	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:38:49	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:38:49	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:45:02	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:45:02	프로그램 재시작 >> Program Start
 2007-11-10 오전 1:50:36	프로그램 비정상적인 종료 >>
 2007-11-10 오전 1:50:36	프로그램 재시작 >> Program Start
 2007-11-10 오후 1:53:59	프로그램 비정상적인 종료 >>
 2007-11-10 오후 1:53:59	프로그램 재시작 >> Program Start
 2007-11-10 오후 1:54:04	프로그램 종료 >> Program End
 2007-11-10 오후 1:54:11	프로그램 시작 >> Program Start
 2007-11-10 오후 1:54:24	프로그램 비정상적인 종료 >>
 2007-11-10 오후 1:54:24	프로그램 재시작 >> Program Start
 2007-11-10 오후 1:57:57	물품판매 >>     판매물품(새우깡), 판매수량(10 EA), 판매금액(6000 \)
 2007-11-10 오후 1:58:43	프로그램 비정상적인 종료 >>
 2007-11-10 오후 1:58:43	프로그램 재시작 >> Program Start
 2007-11-10 오후 1:59:50	물품판매 >>     판매물품(새우깡), 판매수량(10 EA), 판매금액(6000 \)
 2007-11-10 오후 2:00:53	물품판매 >>     판매물품(새우깡), 판매수량(30 EA), 판매금액(18000 \)
 2007-11-10 오후 2:02:55	프로그램 비정상적인 종료 >>
 2007-11-10 오후 2:02:55	프로그램 재시작 >> Program Start
 2007-11-10 오후 2:03:10	물품판매 >>     판매물품(새우깡), 판매수량(30 EA), 판매금액(18000 \)
 2007-11-10 오후 2:05:50	프로그램 비정상적인 종료 >>
 2007-11-10 오후 2:05:50	프로그램 재시작 >> Program Start
 2007-11-10 오후 2:09:50	프로그램 비정상적인 종료 >>
 2007-11-10 오후 2:09:50	프로그램 재시작 >> Program Start
 2007-11-10 오후 2:09:59	프로그램 비정상적인 종료 >>
 2007-11-10 오후 2:09:59	프로그램 재시작 >> Program Start
 2007-11-10 오후 2:10:46	물품판매 >>     판매물품(코코볼), 판매수량(50 EA), 판매금액(150000 \)

